Time_submitted,Review,Rating,Total_thumbsup,Reply
30-04-2022 23:56,I love Spotify becuse it shows all the songs im looking for.there recomendacions are the best.i hate when there is ads but apart from that Spotify is the best music app,5,2,
30-04-2022 23:49,"Gives you the ability to listen to a plethora of music artists and genres. For a monthly subscription you can disable the advertisements. Good value for money, I'd reccomend this app.",5,0,
30-04-2022 23:47,I loved the app however for the past months it won't play my offline songs offline and the music keeps pausing mid playlist or even after one or two songs. It seems that many people are having this same issue so I hope they can fix it soon.,3,0,
30-04-2022 23:45,"App keeps closing, after like 6 to 8 songs and if you skip songs for last few months, up to date all time.",3,0,
30-04-2022 23:36,"While on vacation, Spotify is great for providing music. Works without shutting down during operation as some platforms do. I enjoy listening to music when going to sleep, there are many Playlist to choose from.",5,0,
30-04-2022 23:29,"Great app but atm it's acting up. I can't sample songs before I add them into my playlists anymore so I don't know what I'm adding. I've close the app, uninstalled it and nothing works. It's a real bummer and defeats the purpose of this being a music app if I can't even choose what I listen to.",2,2,
30-04-2022 23:24,Love my music and Spotify delivers 🙌,5,0,
30-04-2022 23:20,Absolutely love how well it works as a member and my kids can have their own playlists. It's always with me! Thanks Spotify!,5,0,
30-04-2022 22:56,Spotify is my favourite music streaming service.,5,0,
30-04-2022 22:55,"WOW, THESE REVIEWS!!! SPOTIFY ARE NOT LISTENING!!! Glitchier and glitchier.. Has always been a sterling app but something has changed. These days it randomly stops and most frustratingly, will be playing, but the play button has the 'triangle' and not the pause button, so you can't stop what is playing! The only way to get it to stop is turn the phone off. Very poor.",2,15,
30-04-2022 22:54,It's just easy to use and it's just great. :],5,0,
30-04-2022 22:52,"I have a lot of songs liked in Spotify. Unfortunately, at times the app will start playing songs I've never heard of and have not liked. When I go into Spotify and tap on my library and select my liked songs, I expect the app to play only my liked songs. If the app does not stop playing songs that I have not liked, then I will uninstall the app and find another. Also, Spotify keeps stopping and I don't like that.",1,0,
30-04-2022 22:50,"I've been using Spotify for my music since like 2011 and have been a premium user for probably the last seven years, absolutely love it. My one problem consistently is that I cannot reorganize the songs in my ""liked"" playlist which is my main playlist. I just wanna be able to put the songs in order in the way I like them. Otherwise it's great.",4,13,
30-04-2022 22:50,4stars is enough cos their advert is a lot,4,0,
30-04-2022 22:46,"Best music platform, Simple and Easy to use",5,0,
30-04-2022 22:46,TRASH! Only reason to have spotify is the Joe Rogan experience. Spotify goes out of thier way to interrupt your listening with thier pop up ads for thier paid service. The app barely streams with full 5g and isn't much better on wifi 15 ft from the router.,1,0,
30-04-2022 22:43,I love Spotify obviously but why did it revert an update. Now I can't do basic things like swipe right to add to queue,5,0,
30-04-2022 22:41,"This is one of the paid subscriptions that is worth it!! Love accessing exactly what I want, different family members having our own specific content, the various podcasts are awesome and obviously no ads! Works with our Google which is perfect.",5,0,
30-04-2022 22:37,Only plays the preview of a song if you're on the free version. Pretty stupid considering you can play the whole song on a free plan on desktop.,1,0,
30-04-2022 22:27,Really happy that I tried this. Such a wonderful selection and variety of music styles. I can listen to my favorites from across six decades!,5,0,
30-04-2022 22:24,Best damn music streaming service period.,5,0,
30-04-2022 22:23,"Hey, I love this app, but for some reason you can't listen to reccomended songs anymore on the ""add songs"" list. I tried uninstalling and reinstalling, but it just doesn't seem to work anymore. Anyone else having this problem? This is the main way I discover new songs.",3,0,
30-04-2022 22:21,I am installing only vbecause of too many adds. It's utterly spoiling the mood. Then no use of listening to music. FM RADIO is better than this.,1,0,
30-04-2022 22:07,Precise.Love the way it suggests and plays related songs👌,5,0,
30-04-2022 22:02,Too many ads,1,0,
30-04-2022 21:57,Crashing non stop. Been a premium user for nearly a decade. About to cancel soon.,2,2,
30-04-2022 21:52,"4/30/2022: still force closes on Android. Been happening a lot lately. Not what I pay for in a premium sub. Have to fix this. 6/6/2021 update: went from 4 * to 3 bc its stops suddenly and restarts. a suggestion - you should be able to shuffle all playlist instead of one playlist at a time. Sometimes, one wants more of a variety. If you look at Pandora you can shuffle all your playlist to keep things from getting boring. It's an idea that I believe most would agree to. Good service though.",3,42,
30-04-2022 21:46,Latest update absolutely sucks. I just recently downloaded it again after a months and I'm very disappointed. They've removed the feature where u can play a short snippet of the song before adding to a Playlist and that just irritates me rn,2,1,
30-04-2022 21:46,I deleted it because it was being really weird after I was using it for a while and then it like stopped and it wouldn't show like my playlist then after that I tried to redownload it and it wouldn't let me login. Because I don't know why so I'm giving it a one star you're welcome Spotify.,1,0,
30-04-2022 21:41,App constantly stops playing audio and doesn't allow me to change items or play/pause when I want,2,0,
30-04-2022 21:39,I app is glitchy. It seams lazily made though maybe it's much harder then I think to make an app like this. Often the bar at the bottom of the screen that is used to pause or skip a playing song isn't there (this is a new issue) and I have to restart my phone or delete the app to stop it playing. If I am playing a play list on random and switch devices it seams to restart the random and very quickly play the same songs I just heard. The recommendation algorithms are way off.,3,5,
30-04-2022 21:31,Thank you for the Music and songs Thank you very much 🙂💖,5,0,
30-04-2022 21:28,Functional but many ads,3,0,
30-04-2022 21:27,"If the free version is terrible makes me not want the premium version. Can't pick what songs you actually want to play will only play from playlists, only 6 skips per hour when you can't even pick a direct song only shuffle play?? This isn't good marketing its just infuriating, used this app many years ago and honestly super disappointed won't be using again 👍🏻",1,0,
30-04-2022 21:25,I can watch every podcast but dj akademiks seems kinda weird and seems to be done on purpose!,1,0,
30-04-2022 21:17,All the music I love. The best playlists too. What more is there to say.,5,0,
30-04-2022 21:14,"Good service, but I've been charged even after I have cancelled the services.",4,0,
30-04-2022 21:11,Searching ome song then play it but different different sings starts playing. Very irritating,1,0,
30-04-2022 21:11,Great app but don't be fooled. When it says you can download songs after getting the premium version it's not true. Songs only get downloaded on the app no app no songs and there's no choice to download onto your device,3,0,
30-04-2022 21:08,"I pay for premium don't give me pop-up ads. The new car mode doesn't let you control the music from the car at all, which is incredibly unsafe and asinine. The new lyrics feature is garbage and makes the player lag. I am this close to just trashing Spotify and swapping to another music service. Update: Not even the basic functionality of prev/next song works consistently any more. That's it. I'm done.",1,7,
30-04-2022 21:06,"With all the choices of music and podcast players out there, it's hard to stand out, yet Spotify does and does it fantastically! I would never use anything else!",5,0,
30-04-2022 21:05,Finally got tired of the constant email and spamming. You sign up for an app and all you get is constant harassment. No respect for their customers.,1,0,
30-04-2022 20:58,"Personally, I think it's the best app to listen to music to. But it includes too many advertisements and adds unwanted songs.For example, I removed a song off my playlist and it was automatically re-added.",4,0,
30-04-2022 20:43,"Spotify is a great comfort zone of music. There's all kinds of audios, not only music. There's religious recitations such as Qur'an, there's rain sounds, relaxing music and different types of ASMR. I personally recommend Spotify. Plus, the ""No ads"" feature isn't very expensive. It's close to a dollar.",5,1,
30-04-2022 20:38,"Best collection of music, features & plans that you can share with your friend or family. Interface is very easy to use. Great for parties as you can customise your own playlists to themes you like. 10/10 for me",5,0,
30-04-2022 20:21,Spotify is just amazing,5,0,
30-04-2022 20:21,Love it. Very happy with my music.,5,0,
30-04-2022 20:18,Brilliant. Other than I need to keep re opening the app to get a video up with the podcast I'm listening too,4,0,
30-04-2022 19:57,"Horribly buggy. Also, stop shoving podcasts down our throats! I pay for Spotify, I don't want to see more ads! Update: still buggy",1,1,
30-04-2022 19:56,"It was overall great, but i think that the Spotify premium adds are more than any other adds so i think that it should be lessened",4,0,
30-04-2022 19:52,I can reply the same song I want to play and I have to listen to an album of one song I wanna listen to and I got logged out of my account randomly for no reason and it didn't save the account so this app meh it ok ig,3,0,
30-04-2022 19:49,"I moved from Deezer to Spotify because Spotify is cheaper (I wanted a plan for 2 people, and Spotify Duo is cheaper than Deezer Family). Spotify is OK, but I still miss Deezer Flow. The Spotify daily mixes and weekly discovery and whatnot just can't replace my Deezer Flow. I've tried to like Spotify, I really really have. But at this point I'm strongly considering just paying more and going back to Deezer.",2,0,
30-04-2022 19:49,"This aap is assoommm..🥰🥰. But I want to you can please add some mining book audio like minea act 1952, mines regulations and ets ..it's help me a lot ...can you ou do something...",4,0,
30-04-2022 19:48,It is a good music app you can have however many Playlist you want that is what I need so I give it a 5 star,5,0,
30-04-2022 19:39,Excellent music app,5,0,
30-04-2022 19:39,Stops loading songs unless the screen is on. Which is resolved with a forced close. Starts playing song randomly in my pocket. Only resolved with a forced close. Stops responding to controls on Bluetooth. Across all Bluetooth devices. Only resolved with a forced close. I would say on average I have to force close the app 4-5 times a day. I've cleared cache and cookies and Uninstalled/ reinstalled and have the latest pixel os. Yet the issue persists.,3,5,
30-04-2022 19:38,"Disappointed!! And no, I am not understanding!! Spent over £300 on a Pioneer head unit with Spotify connect for it only to work for about a month. Absolute disgrace for the compatibility to be removed! Please sort it out Spotify or at least stop auto updating the app. Spotify still connects to my Pioneer unit when version 8.6.98.900.apk is installed, but only lasts for a few days then stops working as it auto updates even with auto update being disabled for Spotify in Play Store!!! Fix it!!",2,0,
30-04-2022 19:32,"Sincerely One of the Most Functional & Resourceful Apps in Playstore. Clearly a well thought out & Meaningful App. Further Perfective Improvements are however welcome while at the same time toning a little down on intrusive Pop-up ads. Wouldn't mind recommending it to my family, peers & every other potential user. Great 👌 Stuff.",5,0,
30-04-2022 19:22,"Love the sound quality with premium. Years of experiencing new genres and the moment when the app goes astray, day or night, the support team is available to assist.",5,0,
30-04-2022 19:21,"Have mostly enjoyed Spotify, The glitch with no 'currently playing' bar was disappointing, as it happened on 4 day weekend. kept having to restart my phone during a party. Not a good look for a host. Some music Not found on Spotify and had to look at other music platforms to find them Like ""It's a great day to be alive"" from Jah Vinci. Great song but not on Spotify.",4,9,
30-04-2022 19:16,Very good music streaming app. It's Ai is much developed to satisfy your taste of music with recommendations.,5,0,
30-04-2022 19:14,"The ads on the app are massively louder than the music. A terrible way to bully people into upgrading. That itself makes it borderline unusable for me. Sometimes, the app loads without the bar for play/pause buttons, and it's impossible to control anything. It often keeps playing random songs after a playlist is done, instead of stopping. I switched to a competitor, and don't have all these problems anymore.",1,0,
30-04-2022 19:09,"The app is quite good, but I don't know why the songs are downloaded everytime I open the app, though I have premium. It must be downloaded one time only, so that I can listen them anytime. That's why I have listen them online, despite having premium account.",4,0,
30-04-2022 19:06,"Bad performance and all empty playlists. Don't know what ""improvements and bug fixes"" on the last Android update, but all the suggested playlists are empty. To start the app I have to open it, close it and open it again, if not the whole app is unresponsive. Common guys you can do better than this...",2,4,
30-04-2022 18:56,"I think this a great app but there is a minor inconvenence, when I'm listening to a song midway (on a playlist) it stops, plays two ads and goes to another song. It would be great if this didn't happen so often.",4,0,
30-04-2022 18:51,I love Spotify would give 5 starts bit I can't get past the loading screen and I pay for this app,3,1,
30-04-2022 18:51,A great app for listening to music and podcasts!!,5,0,
30-04-2022 18:48,"Love the price and accessibility, but has been glitching far too much for my liking these past few months. As an android user I don't have many other options, but they need to get the freezing and connectivity issues sorted out.",3,2,
30-04-2022 18:45,Spotify is the best music service.,5,0,
30-04-2022 18:45,Pros.... Huge library streams great quality..Cons uses huge amount of memory,5,1,
30-04-2022 18:37,"Top app. Pick a song, pick an artist, something contempary a blast from the past. All boxes are ticked. The choice of podcasts is great too! Would not be without it!",5,0,
30-04-2022 18:36,I haven't discovered my devuce's ability to play offline yet,3,0,
30-04-2022 18:35,Would be nice if the app stopped closing in the middle of a song.,1,3,
30-04-2022 18:34,"The app on my ipad worked really well, the ads were bareable and some features needed premium and I understand. I tried the app on my phone and it was hell, I don't want to be spoonfed songs I don't want to listen to and why the hell would you need premium to loop or even control the song you're listening to. Please make the app worth downloading and maybe give users the ability to even control what their listening to.",1,4,
30-04-2022 18:26,Best music app.. Ever!,5,0,
30-04-2022 18:24,Best music app ever created,5,0,
30-04-2022 18:24,I think Spotify is really good at listening to podcasts and music on,4,0,
30-04-2022 18:21,Always loved it. Glad I pay for premium,5,0,
30-04-2022 18:15,99.9% of all the stuff I've searched for I have found.,5,0,
30-04-2022 18:14,Good music but occasionally very buggy,2,0,
30-04-2022 18:11,I have a bug or maybe a setting problem my songs in my playlist keeps mixing when played . The songs play shuffled even though shuffle is turned off. Wt i actually mean is my first song is montero the second is someday so after montero ends it starts playing some other song and not someday......... Plss help me with this🙏🏻,4,0,
30-04-2022 18:06,Amazing I love it very easy to use.,5,0,
30-04-2022 18:06,Just recently been using a Spotify premium trial and i can't even use it without the app force closing itself when I'm using another app fix it,1,0,
30-04-2022 18:04,"Well, spotify is good but one of the stuff just gets on my nerves. The problem that I have with it is that I can't even fine the damn shuffle button and sorry for using the word damn but it's the baby who keeps crying which makes me annoyed. But I can't seem to find it and I want to have my songs play in order.",3,0,
30-04-2022 17:58,"I love having instant access to music all day, everyday, no matter what my mood is!",5,0,
30-04-2022 17:36,Best music service,5,0,
30-04-2022 17:33,Thank God for Spotify is all I need to say.,5,0,
30-04-2022 17:28,Glitches all the time even on downloaded music,2,0,
30-04-2022 17:23,Irritating continue ads repeatly,1,0,
30-04-2022 17:19,Excellent song choice artist song writers,5,0,
30-04-2022 17:13,Yes I am satisfied with Spotify but at a certain time the ads will become so annoying (not in premium) except that it's a wonderful music app,3,0,
30-04-2022 17:06,"Good music selection but if you don't upgrade, than 1 song = 2-3 (30 second commercials) Checkout Sound Cloud.. Sound Cloud has commercials too, but you get more individual tracks before 1 (20 second advertisement) Sound Cloud allows you to stream 2hr+ dj or live performance sets w/out interruption, Spotify interrupts after each song with 2-3, (30 second commercials) it's completely wrong.",1,0,
30-04-2022 17:02,BRING BACK THE PREVIEW BUTTON WHEN ADDING SONGS. the dumbest update you've ever made was removing it.,3,0,
30-04-2022 17:00,"This app consistently stops mid podcast for no reason, occasionally starts the podcast from the beginning. It offers a download option that does not work when your offline which makes it useless. If Joe rogan were not exclusively on this application I would have deleted it months ago. If he moves his podcast to a different location I will never be back.",1,0,
30-04-2022 16:59,Awesome selection. Music that brings you back. The best therapy.,5,0,
30-04-2022 16:53,"Great app, but won't launch anymore. Fully updated, tried restarting, still won't launch. Dropping my rating weekly till I can use it again",4,0,
30-04-2022 16:50,"I have to close the app several times before it works... it lags A LOT... it wasn't like this.... I want a block songs feature too please, or a no track session when someone uses my spotify but I hate the recommendations",3,0,
30-04-2022 16:49,Always a great playlist,5,0,
30-04-2022 16:47,I think Spotify is a wonderful experience I can always find all the music I want to hear from it and don't even bother playing with other programs anymore I recommend it highly five stars this app is also good for making playlists and they do have podcasts but I haven't gotten to those yet and it's very easy to use,5,0,
30-04-2022 16:47,"its so freaking bad since this ""update"" i agree with the critical reviews i even uninstalled it for example i PLAY my playlist IT STARTS WITH THE SONG WHERE I PAUSED LIKE 1 WEEK AGO AND IT AUTOMATICALLY ADDS SONGS TO MY PLAYLIST WHICH I DONT EVEN LIKE. when im finding songs I SEE A PLAYLIST I SEE FREAKING PLAYLIST ABOUT THE SONG i cant even hear the song anymore. its unfair for mobile users.i played in spotify web in my laptop and its SOO MUCH better. yall basically saying ""GET A LAPTOP/PC"":I",1,0,
30-04-2022 16:46,"You can listen to your songs while your phone is off but when you play the song you like, there may be other songs so that you can know more songs and you will get 30mins no ads",5,0,
30-04-2022 16:46,Music kept pausing even though it downloaded.,4,0,
30-04-2022 16:45,"4.29.22 It happend again:1.14.22 update, here we are again with the same issue. In the middle of an episode of JRE and the app starts the next episode and marks the one I was listening to as played...PLEASE FIX THIS 🙃 4.29.21 update, still haveing the same auto play issue......bummed 😕 This app is trash. 2-3 time a week it will auto play or sikp to the next episode of JRE and go to the end of the episode I am currently on. I expect much more from spotify. 100% disappointed as a long time user.",1,11,
30-04-2022 16:43,"Often slow, buggy and unable to connect to the internet and other devices on your network. Why am I paying for this?",2,37,
30-04-2022 16:42,"Spotify is useful for so many things. Studying, vibing, you name it! I would give it more stars if possible!",5,0,
30-04-2022 16:37,Spotify's updated versions no longer work with Nuvo whole home audio systems and Spotify won't take action to address it despite there being significant awareness of this matter on Spotify's support forums.,1,0,
30-04-2022 16:30,It's a very easy app to use easier than any other app I've used. The ads can be annoying but at least the subscription isn't an insane amount like some these days.,5,0,
30-04-2022 16:29,"songs don't load in my likes, i have been a premium member for years now",1,0,
30-04-2022 16:27,It's a great app to listen to music but if there was more that just 6 skips on music than it would be a 5 star review,3,0,
30-04-2022 16:26,One of the best 👌 Music 🎶 APP 💯🔥,5,0,
30-04-2022 16:17,"I realy enjoy this app a lot,and what's interesting it formulates a special track list, what an amazing app,but one thing though you can only download via premium",5,0,
30-04-2022 16:15,I used to like how liked songs I can choose what genre music I like from my liked music but now I can't go to it. It shows the genre but won't scroll left,3,0,
30-04-2022 16:14,Too many ads,2,0,
30-04-2022 16:12,Annoying. Keeps stopping the song after 12 seconds. Going back to you tube music.,2,0,
30-04-2022 16:10,Improvements could be made like daily drive but one with more than just news idk,5,0,
30-04-2022 16:04,It gives a great choice in music it's has good sound quality and easy to use,5,0,
30-04-2022 16:03,Love how easy it is to find my favorite music.,5,0,
30-04-2022 16:02,"Today something good happend , Spotify gave no ads for 4hrs straight . I dont have a premium membership. Good spotify keep going",5,0,
30-04-2022 15:57,Absolutely trash I cant play my own song it's so bad I want to listen my song it's not letting me and when I play it play only for a second and then pause it I don't know why please spotify fix it I cant play my own song!!!!,1,0,
30-04-2022 15:51,It's gives all types a Variety,5,0,
30-04-2022 15:46,Way more ads now ruins the app,3,0,
30-04-2022 15:40,When I clicked the music that I want to listen to a giving me a different song,3,0,
30-04-2022 15:33,I love how easy it is to find all my favorite songs and to make a playlist.,5,0,
30-04-2022 15:32,The app is fine but it would be better if we could add songs in our queue directly from the search menu rather than having to add them to a playlist before. That is my main problem with spotify,3,5,
30-04-2022 15:31,Android auto doesn't work I with this app anymore.,1,1,
30-04-2022 15:27,Really easy and reliable 💛💛,5,0,
30-04-2022 15:22,"They know what I like, and they always deliver the best,.",5,0,
30-04-2022 15:18,I pay for spotify and the most annoying issue that I have been having is that while listening to a podcast when not connected to my car or headphones the audio just stops playing until I turn my phone back on. It's completely annoying especially when your trying to do dishes and have to continuously turn your phone on in order to just keep listening to a podcast.,1,4,
30-04-2022 15:15,"Great music experience, only gripe when I Shazam music and open through Spotify it doesn't recognize the track until I manually type.",4,0,
30-04-2022 15:11,Superb best music app out by far 👌👏👍,5,1,
30-04-2022 15:08,Song display bugs were fixed but now I cant see my chromecast device.,1,0,
30-04-2022 15:08,"Extremely buggy, can't operate at all",1,0,
30-04-2022 15:02,Great app. Best music app out there but podcast still have ads even if you have premium,5,2,
30-04-2022 15:02,this app is so fun and it has great music,5,0,
30-04-2022 15:01,It's amazing! Pandora doesn't stand chance. It gets the job done whether your DJing or clean the man for the job it's the best option.,5,0,
30-04-2022 14:58,"Since Spotify asked me to rate them, I will, lol malicious compliance! Buggy performance, lack of control over home page, settings don't work as described. I'm at the point I'm gonna migrate to Tidal b/c this app just doesn't work right. It has begun to constantly crash in the car (every 3-4 songs), the home page auto updates without asking and you can't go back. I was trying to go through a list of ""trending albums"" and then the page updated and the list was just gone. Why am I paying for this?",1,11,
30-04-2022 14:47,"In general, great! Love the personalised playlists and it usually works. Only thing that annoys me is sometimes when I open it, it buffers for ages and I don't understand why.",4,0,
30-04-2022 14:39,Very relaxing and reliable... really love the options of other songs u get at the bottom of making ur playlist ❤️,5,0,
30-04-2022 14:30,Bad really bad. And just keeps getting worse. I can't even play my own music. And now it keeps adding different songs to my playlists MY PLAYLIST NOT YOURS SPOTIFY YOU CANT ADD SONGS TO MY PLAYLISTS. Anyways please PLEASE FIX IT SPOTIFY PLEASE.,1,0,
30-04-2022 14:25,Good music and update collection.,5,0,
30-04-2022 14:22,"Worst streaming app available especially for podcast. In the middle of podcast it will just skip to the next episode. When I try to go back to what I was listening to it just starts the entire episode over which makes it a pain to find where I was in the episode. Everytime it goes to an advertisement, once the advertisement is over it jumps to the very end of the podcast I was listening to. Again, now I have to try and find where I was in the episode. Very frustrating to use.",1,0,
30-04-2022 14:21,"This last update has issues please fix Update, how many times am I going to force stop this app until I go to another service? I pay for premium service and have never had an issue. Update.. works better thank you",5,1,
30-04-2022 14:15,"I can't go premium. It says unable to connect and I need to check my connection. But, my connection was so okay. I even used it for meeting.",2,0,
30-04-2022 14:13,Listen to Spotify all the time everyday,5,0,
30-04-2022 14:12,"Works alright most of the time but I don't know what it does with downloads. They keep disappearing. Also, I get logged out when there's no network. It's let me down a lot in no network areas. Fix the offline mode issue for the other two stars. Quite annoying.",3,25,
