Time_submitted,Review,Rating,Total_thumbsup,Reply
31-01-2022 23:54,Been trying to download my playlist and can't find the download button and I thought I can do that even if I'm not a premium user but as it stands I don't know what's wrong,1,0,
31-01-2022 23:52,Absolutely the best!! But if you cancel Joe Rogan.. I know at least 45 people will cancel their service including myself..,5,1,
31-01-2022 23:49,"This app is great, but one thing I hate WITH A PASSIONðŸ¤¬ is that you can't view the playlists you made separately from playlists you follow or download. I can't express how stupid that is, like it should be one of the first things you'd be able to do, separate your playlists with followed playlists. Come on. It eats me up. I don't know why it bothers me so much, but it does. 4 stars. Everything else is amazing.",4,42,
31-01-2022 23:49,"Easy to use, easy to set up. Great songs from back in the day.",5,0,
31-01-2022 23:46,Very happy you haven't bent the knee to the mob Spotify! Keep it up,5,0,
31-01-2022 23:42,Only downloaded and subscribed to premium for joe rogan podcasts. Love his bipartisan discussions and opportunity to avoid the mainstream media.,5,0,
31-01-2022 23:42,Great variety of music and podcasts,5,0,
31-01-2022 23:39,"I don't listen to any of the ""misinformation"" podcasts, or the people that are pulling their content, but there's this thing called free speech, some people find it to be important, few people have died for it... Some people need to just get over themselves, but everyone needs to think critically and take everything they hear with a grain of salt.",5,4,
31-01-2022 23:30,"I prefer Spotify , then other apps . Thank you",5,0,
31-01-2022 23:29,"Spotify was working just fine. However & without any reason, the app started to ""grow"", in terms of storage space. Without my doing anything, the app grew to 11 gigabit within just a few days. I wasn't downloading, I wasn't doing anything. I got warnings from my smartphone about running out of memory space, it was adversely affecting my smartphones battery condition. So, I've had to with great reluctance, uninstall.",2,0,
31-01-2022 23:22,"App is missing a lot of very obvious features. Needs a ""shuffle album"" and ""shuffle artist"" button like every other media player since time began. Needs to be able to scroll back in the Queue to see what's already played.",3,2,
31-01-2022 23:19,"Perhaps the most questionable UI/UX decisions I've ever seen. Why would you remove the 'My Songs' search bar at the top? Why make scrubbing through tracks less sensitive to touch? Less bells and whistles, more focus on functionality. Tell your product designers to step it up.",2,3,
31-01-2022 23:06,"Kinda convenient, but they keep sacking artists and it is slow and buggy during offline use.",2,0,
31-01-2022 22:59,"ads, often repeating three times in a row..abusive to force you to pay up",1,1,
